id,controller,stimulus,acceptance,status,evidence_path,evidence_sha256
PROG-EC-001,EC,Program and read back a blank board,Critical enables remain off and image identity is verified,NOT_RUN,,
PROG-MK-001,MAKER,Program and read back a blank board,Maker power stays off and exported I/O remains high impedance,NOT_RUN,,
EC-BOOT-001,EC,Cold boot with every source absent,All controlled outputs remain passive through initialization,NOT_RUN,,
EC-NRST-001,EC,Assert NRST with each source path active,Every path and load turns off before firmware revalidation,NOT_RUN,,
EC-WDG-001,EC,Stop watchdog service with each source active,Reset starts passive with no automatic source reconnect,NOT_RUN,,
EC-BROWN-001,EC,Ramp MCU_3V3 through the brownout region,No partial enable or uncontrolled reconnect occurs,NOT_RUN,,
EC-SVC-001,EC,Reset with each service-mux channel selected,The mux returns to channel zero and the upstream bus recovers,NOT_RUN,,
EC-I2C-001,EC,Hold SCL and then SDA low during source validation,Transactions remain bounded and no source path enables,NOT_RUN,,
EC-PD1-001,EC,Request PD1 at 15 V 3 A,Only PD1 bootstraps; after path-good IINDPM 2750 mA is read back before charging or loads enable,NOT_RUN,,
EC-PD2-001,EC,Request PD2 at 15 V 2 A,Only PD2 bootstraps; after path-good IINDPM 1750 mA is read back before charging or loads enable,NOT_RUN,,
EC-PD3-001,EC,Request PD3 at 15 V 500 mA,Only PD3 bootstraps; after path-good IINDPM 250 mA is read back before charging or loads enable,NOT_RUN,,
EC-PD-COLD-001,EC,Cold-start from each valid PD input with battery absent,One qualified path powers BQ25798 first; IINDPM readback follows path-good and all downstream loads remain off until complete,NOT_RUN,,
EC-PD-5V-001,EC,Attach a USB-C source offering only default 5 V with battery absent,CH224A remains powered for negotiation but aggregate AON UVLO keeps the EC and every source path off,NOT_RUN,,
EC-PD-INVALID-001,EC,Request a PD path without a valid current contract,No path enables and validation reaches a latched fault,NOT_RUN,,
EC-IINDPM-ACK-001,EC,Suppress the IINDPM applied acknowledgment,Only the qualified bootstrap path may be on; charger and loads stay off and timeout returns the path off,NOT_RUN,,
EC-IINDPM-MISMATCH-001,EC,Report an applied IINDPM value different from the request,The qualified bootstrap path turns off and the mismatch faults immediately before charging or loads start,NOT_RUN,,
EC-COMMIT-FAIL-001,EC,Inject a failure at every target commit stage,A complete passive rollback is attempted and failed rollback stays unavailable,NOT_RUN,,
EC-PD-DROP-001,EC,Remove or reduce a negotiated-current contract while active,The selected path and charger turn off and a fault latches,NOT_RUN,,
EC-PD-FAULT-001,EC,Assert the active TPS26630 fault output,All controlled paths and loads return passive,NOT_RUN,,
EC-XFER-001,EC,Transfer between every pair of sources,No path overlap occurs and all-off deadtime is at least 20 ms,NOT_RUN,,
EC-PATH-PG-001,EC,Prevent selected path-good assertion,The path turns off by the 250 ms timeout and a fault latches,NOT_RUN,,
EC-MU-PG-001,EC,Suppress MU_12V_PG during startup,MU_12V turns off by the 20 ms timeout and a fault latches,NOT_RUN,,
EC-MU-PG-002,EC,Remove MU_12V_PG after confirmation,MU_12V and controlled loads return passive and a fault latches,NOT_RUN,,
EC-CHG-FAULT-001,EC,Assert charger fault while charging,Charging and controlled outputs return passive and a fault latches,NOT_RUN,,
EC-THERM-001,EC,Inject open short hot and implausible thermal inputs,Unsafe or invalid telemetry cannot leave controlled loads enabled,NOT_RUN,,
EC-PWRLIM-001,EC,Request Mu startup under each source contract,Host and eDP limits are acknowledged before MU_12V enable,NOT_RUN,,
EC-LOW-001,EC,Sweep loads at released minimum pack voltage and impedance,Measured Mu plus eDP power stays at or below the provisional 15 W ceiling,NOT_RUN,,
EC-LOW-002,EC,Request more than the computed low-pack envelope,Mu startup is denied and charging plus optional loads remain shed,NOT_RUN,,
EC-LOW-ACK-001,EC,Suppress the host and eDP limit acknowledgment,MU_12V remains off and the bounded apply timeout faults off,NOT_RUN,,
EC-TRIP-001,EC,Trip pack protection intentionally at low state of charge,Recovery is deterministic and requires root-cause removal plus explicit retry,NOT_RUN,,
EC-RECOVER-001,EC,Attempt fault clear before and after root-cause removal,Premature clear is rejected and valid clear requires fresh source validation,NOT_RUN,,
MK-BOOT-001,MAKER,Cold boot and attach USB with no user load,Maker rails stay off and all exported I/O remains high impedance,NOT_RUN,,
MK-RUN-001,MAKER,Assert RUN with rails and GPIO active,Rails turn off and all exported I/O returns high impedance,NOT_RUN,,
MK-BOOTSEL-001,MAKER,Enter BOOTSEL recovery,Maker rails stay off and exported I/O remains high impedance,NOT_RUN,,
MK-WDG-001,MAKER,Stop maker watchdog service with outputs active,Restart remains passive until explicit reauthorization and a new request,NOT_RUN,,
MK-PWR-FAULT-001,MAKER,Assert the maker power-switch fault,Rails turn off and the fault remains latched until deliberate recovery,NOT_RUN,,
MK-AUTH-001,MAKER,Request rails and I/O without authorization,The request faults off and is not queued for later activation,NOT_RUN,,
MK-GPIO-001,MAKER,Measure every exported signal during boot reset and fault,Every signal meets released high-impedance leakage limits until configured,NOT_RUN,,
